coordenada_dp,mobility_points
"[-23.5569803, -46.6343707]",36
"[-23.539323, -46.6397243]",43
"[-23.6468944, -46.70744670000001]",14
"[-23.5369322, -46.6653372]",23
"[-23.5617968, -46.6912197]",14
"[-23.5295435, -46.6951429]",28
"[-23.5297112, -46.6123533]",14
"[-23.6017887, -46.6377481]",8
"[-23.6329013, -46.77042369999999]",4
"[-23.5506416, -46.6500727]",34
"[-23.5660725, -46.6692885]",15
"[-23.6054835, -46.4707403]",5
"[-23.639392, -46.6433401]",10
"[-23.5032146, -46.6127013]",7
"[-23.6647883, -46.7826795]",4
"[-23.5004813, -46.6491267]",8
"[-23.6043439, -46.692907]",16
"[-23.6152298, -46.67501009999999]",12
"[-23.5499136, -46.5677709]",13
"[-23.6629003, -46.7561995]",9
"[-23.5816982, -46.6745348]",8
"[-23.5288165, -46.5540478]",24
"[-23.5046049, -46.39673579999999]",5
"[-23.5657615, -46.638262]",23
"[-23.5909007, -46.6087102]",16
"[-23.5882146, -46.72672619999999]",6
"[-23.4586446, -46.5853353]",2
"[-23.7297691, -46.709445]",2
"[-23.5483289, -46.5937954]",13
"[-23.5366674, -46.6489398]",36
"[-23.4963086, -46.4412205]",3
"[-23.5790007, -46.6511819]",14
"[-23.6851295, -46.6372457]",19
"[-23.567624, -46.6235614]",15
"[-23.5240747, -46.4754671]",6
"[-23.6082362, -46.5008084]",7
"[-23.5793692, -46.5174278]",6
"[-23.4947594, -46.6977433]",11
"[-23.4832656, -46.5899297]",2
"[-23.5366448, -46.52656229999999]",13
"[-23.5987209, -46.5333003]",3
"[-23.5718195, -46.7225826]",9
"[-23.5099048, -46.4986202]",3
"[-23.4457366, -46.71685979999999]",2
"[-23.5587714, -46.7467711]",1
"[-23.4040925, -46.7380839]",2
"[-23.497318, -46.7457456]",3
"[-23.5546571, -46.49240460000001]",8
"[-23.5092849, -46.4463252]",2
"[-23.6929887, -46.7599783]",4
"[-23.606231, -46.593887]",9
"[-23.5426786, -46.4187947]",5
"[-23.6619864, -46.6870504]",4
"[-23.478257, -46.6207276]",2
"[-23.4695114, -46.6483016]",0
"[-23.7706354, -46.6971263]",2
"[-23.5342696, -46.4518314]",2
"[-23.5898428, -46.55329099999999]",3
"[-23.4898406, -46.4816704]",1
"[-23.5664039, -46.4669049]",1
"[-23.5228752, -46.7404531]",5
"[-23.6084649, -46.7360457]",5
"[-23.5009259, -46.5698395]",7
"[-23.523067, -46.64425139999999]",20
"[-23.4943279, -46.6778839]",7
"[-23.6566576, -46.66928919999999]",12
"[-23.5177596, -46.5847139]",4
"[-23.7121609, -46.6957234]",2
"[-23.6010108, -46.3985497]",1
"[-23.5938526, -46.5672439]",3
"[-23.4829978, -46.7279263]",9
"[-23.5973003, -46.7960428]",1
"[-23.6235926, -46.4702164]",5
"[-23.537349, -46.3976269]",1
"[-23.5363838, -46.5633524]",14
"[-23.8165554, -46.5834568]",0
"[-23.5519944, -46.4370144]",4
"[-23.5437622, -46.4814419]",9
"[-23.6731727, -46.659496]",9
"[-23.4702496, -46.6813993]",2
"[-23.8248915, -46.7343614]",1
"[-23.700726, -46.5768601]",10
"[-23.4875889, -46.4101492]",3
"[-23.6229114, -46.6019075]",2
"[-23.6565234, -46.6138129]",1
"[-23.5737271, -46.5576479]",8
"[-23.5689051, -46.5845589]",11
"[-23.5624913, -46.5452257]",8
"[-23.5491687, -46.53722570000001]",11
"[-23.4691612, -46.6897573]",3
"[-23.5202068, -46.41149069999999]",2
"[-23.5352219, -46.5846386]",12
"[-23.5704719, -46.5916469]",16
